Word,Level
a,Beginner
about,Beginner
above,Beginner
across,Beginner
act,Beginner
action,Beginner
activity,Beginner
actor,Beginner
actress,Beginner
actually,Beginner
add,Beginner
address,Beginner
adult,Beginner
advance,Beginner
advantage,Beginner
adventure,Beginner
advertise,Beginner
advice,Beginner
afford,Beginner
afraid,Beginner
after,Beginner
afternoon,Beginner
again,Beginner
against,Beginner
age,Beginner
ago,Beginner
agree,Beginner
air,Beginner
airport,Beginner
all,Beginner
allow,Beginner
almost,Beginner
alone,Beginner
along,Beginner
already,Beginner
also,Beginner
always,Beginner
amazing,Beginner
and,Beginner
angry,Beginner
animal,Beginner
another,Beginner
answer,Beginner
any,Beginner
anyone,Beginner
anything,Beginner
apartment,Beginner
apple,Beginner
April,Beginner
area,Beginner
arm,Beginner
around,Beginner
arrive,Beginner
art,Beginner
article,Beginner
artist,Beginner
as,Beginner
ask,Beginner
at,Beginner
August,Beginner
aunt,Beginner
autumn,Beginner
away,Beginner
baby,Beginner
back,Beginner
bad,Beginner
bag,Beginner
ball,Beginner
banana,Beginner
band,Beginner
bank,Beginner
be,Beginner
beautiful,Beginner
because,Beginner
become,Beginner
bed,Beginner
bedroom,Beginner
before,Beginner
begin,Beginner
behind,Beginner
believe,Beginner
below,Beginner
best,Beginner
better,Beginner
between,Beginner
bicycle,Beginner
big,Beginner
bike,Beginner
bill,Beginner
bird,Beginner
birthday,Beginner
black,Beginner
blog,Beginner
blonde,Beginner
blue,Beginner
board,Beginner
boat,Beginner
body,Beginner
book,Beginner
boot,Beginner
bored,Beginner
boring,Beginner
born,Beginner
both,Beginner
bottle,Beginner
box,Beginner
boy,Beginner
boyfriend,Beginner
bread,Beginner
break,Beginner
breakfast,Beginner
bring,Beginner
brother,Beginner
brown,Beginner
build,Beginner
building,Beginner
bus,Beginner
business,Beginner
busy,Beginner
but,Beginner
butter,Beginner
buy,Beginner
by,Beginner
bye,Beginner
cafe,Beginner
cake,Beginner
call,Beginner
camera,Beginner
camp,Beginner
can,Beginner
cannot,Beginner
cap,Beginner
capital,Beginner
car,Beginner
card,Beginner
career,Beginner
carrot,Beginner
carry,Beginner
case,Beginner
cat,Beginner
catch,Beginner
CD,Beginner
cent,Beginner
centre,Beginner
century,Beginner
chair,Beginner
change,Beginner
chart,Beginner
cheap,Beginner
check,Beginner
cheese,Beginner
chicken,Beginner
child,Beginner
chocolate,Beginner
choose,Beginner
cinema,Beginner
city,Beginner
class,Beginner
classroom,Beginner
clean,Beginner
climb,Beginner
clock,Beginner
close,Beginner
clothes,Beginner
club,Beginner
coat,Beginner
coffee,Beginner
cold,Beginner
college,Beginner
colour,Beginner
come,Beginner
common,Beginner
company,Beginner
compare,Beginner
complete,Beginner
computer,Beginner
concert,Beginner
conversation,Beginner
cook,Beginner
cooking,Beginner
cool,Beginner
correct,Beginner
cost,Beginner
different,Beginner
difficult,Beginner
dinner,Beginner
dirty,Beginner
discuss,Beginner
dish,Beginner
do,Beginner
doctor,Beginner
dog,Beginner
dollar,Beginner
door,Beginner
down,Beginner
downstairs,Beginner
